,Facility,Project,ModDate
213,18116005,181160-05,2019-02-21 09:55:48.000
214,18116005,181160-05,2020-06-08 08:07:56.000
215,18116006,181160-06,2020-11-18 06:37:32.877
216,18116006,181160-06,2020-11-19 11:44:10.040
217,18116007,181160-07,2020-11-18 06:37:32.820
218,18116007,181160-07,2020-11-19 11:44:28.513
219,18116007,181161-07,2019-07-13 23:41:52.000
220,18116007,181161-07,2020-06-16 11:45:51.367
221,18116015,181160-15,2020-07-15 08:16:47.953
222,18116015,181160-15,2020-07-15 08:16:47.953
223,18116015,181161-15,2018-11-21 00:45:06.000
224,18116015,181161-15,2020-06-03 16:47:16.000
225,18116102,181161-02,2019-07-22 10:31:26.233
226,18116102,181161-02,2020-06-24 10:00:12.140
227,18116104,181161-04,2019-08-21 10:08:30.000
228,18116104,181161-04,2020-06-24 13:31:00.157
229,18116112,181161-12,2018-11-21 00:45:12.000
230,18116112,181161-12,2020-06-30 15:51:12.687
231,18116113,181161-13,2019-05-22 18:29:40.000
232,18116113,181161-13,2020-08-23 14:17:40.607
233,18116114,181161-14,2020-01-09 12:39:20.000
234,18116114,181161-14,2020-07-08 10:27:46.973
235,18116117,181161-17,2019-10-01 12:35:15.000
236,18116117,181161-17,2020-07-07 21:02:31.120
237,18116118,181161-18,2019-05-01 10:32:52.000
238,18116118,181161-18,2020-07-07 17:17:19.440
239,18130000,181300-00,2007-05-21 15:50:40.000
240,18130000,181300-00,2020-12-15 12:18:39.000
241,18130000,181300-00,2020-12-16 16:56:21.203
242,18130000,181300-00,2020-12-17 12:44:23.917
243,18130000,181300-00,2021-01-01 18:00:59.000
244,18130000,181300-00,2021-01-04 12:03:57.837
245,18130000,181300-00,2021-01-05 07:59:08.973
246,18130000,181300-00,2021-01-06 12:20:37.000
247,18130000,181300-00,2021-01-06 17:32:42.187
248,18130000,181300-00,2021-01-08 10:52:33.183
249,18130000,181300-00,2021-01-08 17:04:05.633
250,18130000,181300-00,2021-01-09 12:32:53.467
251,18130000,181300-00,2021-01-12 10:03:08.367
252,18130000,181300-00,2021-01-13 08:32:06.490
253,18130000,181300-00,2021-01-14 07:41:01.140
254,18130000,181300-00,2021-01-15 09:16:30.607
255,18130000,181300-00,2021-01-15 13:25:33.440
256,18130000,181300-00,2021-01-20 11:17:42.873
257,18130000,181300-00,2021-01-21 11:44:28.197
258,18130000,181300-00,2021-01-22 12:06:27.077
259,18131001,201312-01,2020-10-15 14:00:30.647
260,18131001,201312-01,2020-12-15 14:17:40.693
261,18131001,201312-01,2020-12-17 17:14:51.953
262,18131001,201312-01,2020-12-19 09:46:03.393
263,18131001,201312-01,2021-01-17 19:22:17.327
264,18131002,201310-02,2020-10-15 14:05:22.277
265,18131002,201310-02,2020-12-15 14:18:22.623
266,18131002,201310-02,2020-12-17 17:13:57.250
267,18131002,201310-02,2020-12-19 09:42:02.070
268,18131002,201310-02,2021-01-17 19:22:17.277
269,18132003,181321-03,2002-03-12 17:18:40.000
270,18132003,181321-03,2020-12-15 14:02:32.593
271,18132003,181321-03,2020-12-17 13:12:46.000
272,18132003,181321-03,2020-12-17 16:22:36.490
